# LAST EDIT: 22/08/2020 - MITSU
#######################
# PLEASURE/HAREM/RAPE #
#######################
###ÄNSI
#
# PLEASURE
#
hide_deformity_spells;Dissimulate Deformity;;;;;;;;;;;;;;
EVTDESCGspleasure150;Your [GetFromRelation]'s concerns seems to be really with your behaviour. Apparently, [From.GetSheHe] believes you need to relax and enjoy yourself a little, that somehow your duties shouldn't be the first priority in your mind, always.;;;;;;;;;;;;;;
EVTDESCHspleasure150;Your [GetFromRelation]'s concerns seems to be really with your behaviour. Apparently, [From.GetSheHe] believes you need to relax and enjoy yourself a little, that somehow your duties shouldn't be the first priority in your mind, always.;;;;;;;;;;;;;;
EVTOPTAspleasure150;Can't deny that.;;;;;;;;;;;;;;
EVTOPTBspleasure150;I don't need to waste time with such distractions.;;;;;;;;;;;;;;
EVTDESCAspleasure151;Your work of persuasion was enough to finally have [From.GetFirstName] join your merry band regularly. From what you can remember of the last night, [From.GetSheHe] did looked happier already, there's some things that happened which are pretty hard to believe. Although they might have been just hallucinations...;;;;;;;;;;;;;;
EVTDESCBspleasure151;Your work of persuasion was enough to finally have [From.GetFirstName] join your merry band regularly. From what you can remember of the last night, [From.GetSheHe] did looked happier already, there's some things that happened which are pretty hard to believe. Although they might have been just hallucinations...;;;;;;;;;;;;;;
EVTDESCCspleasure151;Your work of persuasion was enough to finally have [From.GetFirstName] join your merry band regularly. From what you can remember of the last night, [From.GetSheHe] did looked happier already and certainly [From.GetSheHe] will be more relaxed once [From.GetSheHe] gets the habit of sleeping during the day.;;;;;;;;;;;;;;
EVTDESCDspleasure151;Your attempts at loosening up [From.GetFirstName] have yet to give any real result. There's been some frugal attempt at joining you during one of your nights out, but [From.GetSheHe] has yet to manage and follow through the end.;;;;;;;;;;;;;;
EVTDESCEspleasure151;Your attempts at loosening up [From.GetFirstName] have yet to give any real result. There's been some frugal attempt at joining you during one of your nights out, but [From.GetSheHe] has yet to manage and follow through the end.;;;;;;;;;;;;;;
EVTDESCFspleasure151;Your attempts at loosening up [From.GetFirstName] have yet to give any real result. You could tell now [From.GetSheHe]'s thinking about having some good time, it's just too faint an idea in that dull head [From.GetSheHe] carries around yet.;;;;;;;;;;;;;;
EVTDESCGspleasure151;Your [GetFromRelation] still remains such a bore. You cannot fathom how [From.GetSheHe] can manage to put up with any work when [From.GetSheHe] takes no time to ever relax.;;;;;;;;;;;;;;
EVTDESCHspleasure151;Your [GetFromRelation] still remains such a bore. You cannot fathom how [From.GetSheHe] can manage to put up with any work when [From.GetSheHe] takes no time to ever relax.;;;;;;;;;;;;;;
EVTOPTAspleasure151;*Tempt [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTBspleasure151;*Trick [From.GetHerHim]*;;;;;;;;;;;;;;
EVTOPTCspleasure151;*Traumatize [From.GetHerHim]*;;;;;;;;;;;;;;
EVTDESCAspleasure152;The day has become boring, you spend most of it sleeping, waiting to go out with your [GetFromRelation] and [From.GetHerHis] friends and scour the countryside to entertain yourself at the expenses of the locals.;;;;;;;;;;;;;;
EVTDESCBspleasure152;You just needed to know [From.GetFirstName]'s better, [From.GetHerHis] nights out are something memorable. That is, the times that you do manage to remember what you did. But still, however blurry the memory is, you're sure it was something amazing.;;;;;;;;;;;;;;
EVTDESCCspleasure152;You just needed to know [From.GetFirstName]'s better, [From.GetHerHis] nights out are something memorable. That is, the times that you do manage to remember what you did. But still, however blurry the memory is, you're sure it was something amazing.;;;;;;;;;;;;;;
EVTDESCDspleasure152;You're not sure you understand what's [From.GetFirstName]'s idea of fun. You  gave [From.GetHerHim] a chance and joined [From.GetHerHim] for a night, but the feast [From.GetSheHe] prepared was a messy, sexually inappropriate, somewhat violent celebration. You did find some weird charm in it, though...;;;;;;;;;;;;;;
EVTDESCEspleasure152;You're not sure you understand what's [From.GetFirstName]'s idea of fun. You gave [From.GetHerHim] a chance and joined [From.GetHerHim] for a night, but the feast [From.GetSheHe] prepared was a messy, sexually inappropriate, somewhat violent celebration. You're not sure you'd want to partake in any more of that.;;;;;;;;;;;;;;
EVTDESCFspleasure152;You're not sure you understand what's [From.GetFirstName]'s idea of fun. The feast [From.GetSheHe]'s trying to invite you to looks more like some sort of perverted ordeal.;;;;;;;;;;;;;;
EVTDESCGspleasure152;The things [From.GetFirstName] proposed you to do with [From.GetHerHim] could make anyone blush, yet [From.GetSheHe] presented them as something you could for some reason enjoy...;;;;;;;;;;;;;;
EVTDESCHspleasure152;The things [From.GetFirstName] proposed you to do with [From.GetHerHim] could make anyone blush, yet [From.GetSheHe] presented them as something you could for some reason enjoy...;;;;;;;;;;;;;;
EVTOPTZZspleasure152;This is still too tame, I need more to really enjoy it!;;;;;;;;;;;;;;
EVTOPTAspleasure152;Just having some fun cannot hurt...;;;;;;;;;;;;;;
EVTOPTBspleasure152;That's not really my sort of things.;;;;;;;;;;;;;;
EVTOPTCspleasure152;This is a waste of time, I won't hear any more of it.;;;;;;;;;;;;;;
EVTDESCAspleasure153;You find yourself frequently asking for more from [From.GetFirstName] now. Whatever [From.GetSheHe] was giving you has lost its effect, but you still want to feel that sensation, you need to.;;;;;;;;;;;;;;
EVTDESCBspleasure153;Why worry about anything? Life is one coloured blurry wonder. You can't even remember what you and your [GetFromRelation] celebrate half the nights, but it always looks exhilarating when you are doing, no doubt about that. The only downside, [From.GetHerHis] spiked drinks are having the same effect they used to on you.;;;;;;;;;;;;;;
EVTDESCCspleasure153;Why worry about anything? Life is one coloured blurry wonder. You can't even remember what you and your [GetFromRelation] celebrate half the nights, but it always looks exhilarating when you are doing, no doubt about that.;;;;;;;;;;;;;;
EVTDESCDspleasure153;You can't really put your finger on it, but for some time your wine has started tasting better and lasting longer in your cup. Everything gets blurry around evening, but all the worries go away. [From.GetFirstName] might be involved, but you're so relaxed at the end of the day, there doesn't seem to be any reason to care;;;;;;;;;;;;;;
EVTDESCEspleasure153;You can't really put your finger on it, but for some time your wine has started tasting better and lasting longer in your cup. Everything gets blurry around evening, but all the worries go away. [From.GetFirstName] might be involved and you're not sure you like the sound of that...;;;;;;;;;;;;;;
EVTDESCFspleasure153;You can't really put your finger on it, but for some time your wine has started tasting better and lasting longer in your cup. Everything gets blurry around evening, but all the worries go away. [From.GetFirstName] might be involved and you're not sure you like the sound of that...;;;;;;;;;;;;;;
EVTDESCGspleasure153;You nearly risked drinking from a poisoned cup today. The servant responsible was arrested, but you know it must be [From.GetFirstName]'s fault and [From.GetHerHis] stupid obsession about skipping responsibilities.;;;;;;;;;;;;;;
EVTDESCHspleasure153;You nearly risked drinking from a poisoned cup today. The servant responsible was arrested, but you know it must be [From.GetFirstName]'s fault and [From.GetHerHis] stupid obsession about skipping responsibilities.;;;;;;;;;;;;;;
EVTOPTZZspleasure153;This is still too tame, I need more to really enjoy it!;;;;;;;;;;;;;;
EVTOPTAspleasure153;Just having some fun cannot hurt...;;;;;;;;;;;;;;
EVTOPTBspleasure153;That's not really my sort of things.;;;;;;;;;;;;;;
EVTOPTCspleasure153;This is a waste of time, I won't allow any more of it.;;;;;;;;;;;;;;
EVTDESCAspleasure154;Having strangers burst inside your chambers and take you to some unknown location has become the norm for you, thanks to [From.GetFirstName]. Not that you oppose much resistance any more. You wonder what could happen if the thugs weren't sent by [From.GetHerHim]. That'd be hilarious.;;;;;;;;;;;;;;
EVTDESCBspleasure154;Having strangers burst inside your chambers and take you to some unknown location has become the norm for you, thanks to [From.GetFirstName]. Not that you oppose much resistance any more. You wonder what could happen if the thugs weren't sent by [From.GetHerHim]. That'd be hilarious.;;;;;;;;;;;;;;
EVTDESCCspleasure154;You don't understand why [From.GetFirstName] insists on taking you by force to [From.GetHerHis] parties, when you'd just as easily accept by yourself. It has become an exciting routine, to be sure.;;;;;;;;;;;;;;
EVTDESCDspleasure154;Your memories from last night are blurry. You only remember a couple of thugs dragging you out of your chambers against your will to a noisy and grotesque celebration. You don't know what they forced you to drink and do in that wretched place, but you cannot deny a little curiosity and anticipation.;;;;;;;;;;;;;;
EVTDESCEspleasure154;Your memories from last night are blurry. You only remember a couple of thugs dragging you out of your chambers against your will to a noisy and grotesque celebration. You don't know what they forced you to drink and do in that wretched place, but you cannot deny a little curiosity and anticipation.;;;;;;;;;;;;;;
EVTDESCFspleasure154;Your memories from last night are blurry. You only remember a couple of thugs dragging you out of your chambers against your will to a noisy and grotesque celebration. You don't know what they forced you to drink and do in that wretched place, in fact, you're glad you cannot recall any of it.;;;;;;;;;;;;;;
EVTDESCGspleasure154;Last night was a close one, you nearly escaped a couple of thugs, likely hired by [From.GetFirstName] to drag you to one of [From.GetHerHis] wild parties. Who knows what could have they done to you there...;;;;;;;;;;;;;;
EVTDESCHspleasure154;Last night was a close one, you nearly escaped a couple of thugs, likely hired by [From.GetFirstName] to drag you to one of [From.GetHerHis] wild parties. Who knows what could have they done to you there...;;;;;;;;;;;;;;
EVTOPTZZspleasure154;This is still too tame, I need more to really enjoy it!;;;;;;;;;;;;;;
EVTOPTAspleasure154;Just having some fun cannot hurt...;;;;;;;;;;;;;;
EVTOPTBspleasure154;That's not really my sort of things.;;;;;;;;;;;;;;
EVTOPTCspleasure154;This is a waste of time, I won't hear any more of it.;;;;;;;;;;;;;;
EVTDESCAspleasure155;[From.GetFirstName] stated that [From.GetSheHe] will put up no more with your games, that [From.GetSheHe] is a respectable man, with important matters to attend to and cannot very well waste time, health and reputation on your wild parties.;;;;;;;;;;;;;;
EVTDESCBspleasure155;[From.GetFirstName] stated that [From.GetSheHe] will put up no more with your games, that [From.GetSheHe] is a respectable woman, with important matters to attend to and cannot very well waste time, health and reputation on your wild parties.;;;;;;;;;;;;;;
EVTOPTAspleasure155;Suit yourself then.;;;;;;;;;;;;;;
EVTDESCAspleasure157;You're not sure where you are now, but you're with [From.GetFirstName], so it's certainly with good company. The drunken stupor accompanying you for the whole day is something to be nurtured. You never want to experience a hangover ever again.;;;;;;;;;;;;;;
EVTDESCBspleasure157;You're not sure where you are now, but you're with [From.GetFirstName], so it's certainly with good company. The drunken stupor accompanying you for the whole day is something to be nurtured. You never want to experience a hangover ever again.;;;;;;;;;;;;;;
EVTOPTAspleasure157;Yesshh!!;;;;;;;;;;;;;;
EVTDESCAspleasure15705;Yet another drink goes down and your [GetFromRelation] starts singing, or at least attempting to, wrapping an arm around your shoulders to avoid falling face down the table. He's become such a jolly good fellow, although a little moping in the aftermath.;;;;;;;;;;;;;;
EVTDESCBspleasure15705;Yet another drink goes down and your [GetFromRelation] starts singing, or at least attempting to, wrapping an arm around your shoulders to avoid falling face down the table. She's become such a jolly good fellow, a little violent sometime, but that's all more spice.;;;;;;;;;;;;;;
EVTOPTAspleasure157005;Have yourself another!;;;;;;;;;;;;;;
EVTDESCAspleasure158;[From.GetFirstName] can sure throw a party, but you think the time has come to add your own touch. There are places where [From.GetSheHe] can be sloppy at the time and you still think there's more unexplored potential in some of [From.GetHerHis] ideas. You just can wait to start.;;;;;;;;;;;;;;
EVTDESCBspleasure158;[From.GetFirstName] can sure throw a party, but you think the time has come to add your own touch. There are places where [From.GetSheHe] can be sloppy at the time and you still think there's more unexplored potential in some of [From.GetHerHis] ideas. You just can wait to start.;;;;;;;;;;;;;;
EVTOPTAspleasure158;We'll need more young boys and girls... And turnips! Don't forget about those!;;;;;;;;;;;;;;
EVTDESCAspleasure15805;Your [GetFromRelation] has become quite the sensation, [From.GetSheHe] even started planning [From.GetHerHis] own nights out. From what you've heard, there are things happening in those which could make even you squeamish.;;;;;;;;;;;;;;
EVTDESCBspleasure15805;Your [GetFromRelation] has become quite the sensation, [From.GetSheHe] even started planning [From.GetHerHis] own nights out. From what you've heard, there are things happening in those which could make even you squeamish.;;;;;;;;;;;;;;
EVTOPTAspleasure15805;And that's really something.;;;;;;;;;;;;;;
EVTDESCAspleasure159;You thought you'd finally found your thing, but no. You've outgrown this other stuff already. You need something more strong to really enjoy your day. Where could you find it? Where?;;;;;;;;;;;;;;
EVTDESCBspleasure159;You thought you'd finally found your thing, but no. You've outgrown this other stuff already. You need something more strong to really enjoy your day. Where could you find it? Where?;;;;;;;;;;;;;;
EVTOPTAspleasure159;There *must* be something!;;;;;;;;;;;;;;
EVTDESCAspleasure15905;Your [GetFromRelation]'s behaviour has grown so unpredictable, changing from the most pleasant person to the shakiest most brutish wreck, depending on how much drugs [From.GetSheHe] has running through [From.GetHerHis] veins. There are some lovely transitions you've had the joy of experiencing with [From.GetHerHim].;;;;;;;;;;;;;;
EVTDESCBspleasure15905;Your [GetFromRelation]'s behaviour has grown so unpredictable, changing from the most pleasant person to the shakiest most brutish wreck, depending on how much drugs [From.GetSheHe] has running through [From.GetHerHis] veins. There are some lovely transitions you've had the joy of experiencing with [From.GetHerHim].;;;;;;;;;;;;;;
EVTOPTAspleasure15905;More to come, don't worry. ...Or is it?;;;;;;;;;;;;;;
EVTDESCAspleasure160;[From.GetFirstName] is within your clutches. What would you do with your prisoner? How to make [From.GetHerHim] more interesting?;;;;;;;;;;;;;;
EVTOPTAspleasure160;Still a person, but [From.GetSheHe]'ll wish [From.GetSheHe] weren't!;;;;;;;;;;;;;;
EVTOPTBspleasure160;How about a sleazy little toad?;;;;;;;;;;;;;;
EVTOPTCspleasure160;I'm going for pig this time.;;;;;;;;;;;;;;
EVTDESCAspleasure161;The wicked [From.GetTitledFirstName] has prepared a special punishment for you. You can hopelessly watch as the fiend employs [From.GetHerHis] dark magic to twist your body into a grotesque and horrid parody of what it was.;;;;;;;;;;;;;;
EVTOPTAspleasure161;What have you done to me!?!;;;;;;;;;;;;;;
EVTDESCAspleasure16105;You look eagerly at [From.GetFirstName], watching his flesh turn and reshape itself under your spell, uneven fangs come out of his mouth, his back bends in a hunch and his eyes grow deepset and dull. You're sure none could stand the sight of him, let alone get closer.;;;;;;;;;;;;;;
EVTDESCBspleasure16105;You look eagerly at [From.GetFirstName], watching her flesh turn and reshape itself under your spell, uneven fangs come out of her mouth, her back bends in a hunch and her cheeks cover in sparse and thick hairs. She's so ugly, you'd swear none would ever approach her.;;;;;;;;;;;;;;
EVTOPTAspleasure16105;Feeling better?;;;;;;;;;;;;;;
EVTDESCAspleasure162;The wicked [From.GetTitledFirstName] has prepared a special punishment for you, but you will not just stand by and let [From.GetHerHis] magic have its way. Conjuring up your energies, you manage to disrupt [From.GetHerHis] spell, saving yourself to whatever fate [From.GetSheHe] had in store for you.;;;;;;;;;;;;;;
EVTOPTAspleasure162;For now...;;;;;;;;;;;;;;
EVTDESCAspleasure16205;You underestimated your prisoner's skills. He managed to conjure up a counterspell to disrupt your magic. It will take time for you to prepare another incantation. For the time being, he has succeeded into sparing himself from your warpcraft.;;;;;;;;;;;;;;
EVTDESCBspleasure16205;You underestimated your prisoner's skills. She managed to conjure up a counterspell to disrupt your magic. It will take time for you to prepare another incantation. For the time being, she has succeeded into sparing herself from your warpcraft.;;;;;;;;;;;;;;
EVTOPTAspleasure16205;Until next time!;;;;;;;;;;;;;;
EVTDESCAspleasure163;The wicked [From.GetTitledFirstName] has prepared a special punishment for you, but you will not just stand by and let [From.GetHerHis] magic have its way. Conjuring up your energies, you manage to disrupt [From.GetHerHis] spell, turning it upon [From.GetHerHim]self.;;;;;;;;;;;;;;
EVTOPTAspleasure163;Time to run.;;;;;;;;;;;;;;
EVTDESCAspleasure16305;How could it happen? You were just about to cast your spell, when [From.GetFirstName] disrupted it with a few gestures. Even worse, [From.GetSheHe] managed to redirect some of the magical energies against yourself. You can only watch in horror as the prisoner escapes and your beautiful face is turned into a twisted mockery of itself.;;;;;;;;;;;;;;
EVTOPTAspleasure16305;Nooo!!;;;;;;;;;;;;;;
EVTDESCAspleasure164;The wicked [From.GetTitledFirstName] has prepared a special punishment for you. You can hopelessly watch as the fiend employs [From.GetHerHis] dark magic to twist subvert your nature, turning you into senseless animal.;;;;;;;;;;;;;;
EVTOPTAspleasure164;*Grooach't!*;;;;;;;;;;;;;;
EVTDESCAspleasure16405;Watching the pitiful man grow smaller, his skin turning green and slimy, his eyes bulging with surprise and growing stupidity makes your heart beat faster. Now your prisoner frantically jumps beside his former clothes, croaking desperately.;;;;;;;;;;;;;;
EVTDESCBspleasure16405;Watching the pitiful woman grow smaller, her skin turning green and slimy, her eyes bulging with surprise and growing stupidity makes your heart beat faster. Now your prisoner frantically jumps beside her former clothes, croaking desperately.;;;;;;;;;;;;;;
EVTOPTAspleasure16405;Would you like me to call a prince?;;;;;;;;;;;;;;
EVTDESCAspleasure16406;There's little you remember any more. You've found your home in a nice little swamp, filled with delicious flies. Maybe this year you'll find a mate and have hundreds of little tadpoles with it. There's nothing more to life after all.;;;;;;;;;;;;;;
EVTOPTAspleasure16406;*Grooach't!*;;;;;;;;;;;;;;
EVTDESCAspleasure165;The wicked [From.GetTitledFirstName] has prepared a special punishment for you, but you will not just stand by and let [From.GetHerHis] magic have its way. Conjuring up your energies, you manage to disrupt [From.GetHerHis] spell, turning it upon [From.GetHerHim]self.;;;;;;;;;;;;;;
EVTOPTAspleasure165;Time to run.;;;;;;;;;;;;;;
EVTDESCAspleasure16505;How could it happen? You were just about to cast your spell, when [From.GetFirstName] disrupted it with a few gestures. Even worse, [From.GetSheHe] managed to redirect some of the magical energies against yourself. You can only watch in horror as the prisoner escapes and your beautiful face is covered with warts and scales.;;;;;;;;;;;;;;
EVTOPTAspleasure16505;Nooo!!;;;;;;;;;;;;;;
EVTDESCAspleasure166;The wicked [From.GetTitledFirstName] has prepared a special punishment for you. You can hopelessly watch as the fiend employs [From.GetHerHis] dark magic to twist subvert your nature, turning you into senseless animal.;;;;;;;;;;;;;;
EVTOPTAspleasure166;*Hoink!* *Hoink!*;;;;;;;;;;;;;;
EVTDESCAspleasure16605;It's truly satisfactory to watch that pathetic man roll on the floor, still trying to stand on his feet while his skin turns of a bright pink, his limbs shorten and his belly grows. In the end, the nice frightened piggy is left oinking in the stalls outside.;;;;;;;;;;;;;;
EVTDESCBspleasure16605;It's truly satisfactory to watch that pathetic woman roll on the floor, still trying to stand on her feet while her skin turns of a bright pink, her limbs shorten and her belly grows. In the end, the nice frightened piggy is left oinking in the stalls outside.;;;;;;;;;;;;;;
EVTOPTAspleasure16605;Maybe we'll have you roasted next year, yes?;;;;;;;;;;;;;;
EVTDESCAspleasure16606;It's hard to remember the past, but you don't think you've ever had a better life. Lots of nice people bring you plenty of food each day, you have nothing to do nor to worry about and can spend all the time you want rolling in the mud. There's nothing more to life after all.;;;;;;;;;;;;;;
EVTOPTAspleasure16606;*Oink!* *Oink!*;;;;;;;;;;;;;;
EVTDESCAspleasure167;The wicked [From.GetTitledFirstName] has prepared a special punishment for you, but you will not just stand by and let [From.GetHerHis] magic have its way. Conjuring up your energies, you manage to disrupt [From.GetHerHis] spell, turning it upon [From.GetHerHim]self.;;;;;;;;;;;;;;
EVTOPTAspleasure167;Time to run.;;;;;;;;;;;;;;
EVTDESCAspleasure16705;How could it happen? You were just about to cast your spell, when [From.GetFirstName] disrupted it with a few gestures. Even worse, [From.GetSheHe] managed to redirect some of the magical energies against yourself. You can only watch in horror as the prisoner escapes and your beautiful body grows bloated and reeking.;;;;;;;;;;;;;;
EVTOPTAspleasure16705;Nooo!!;;;;;;;;;;;;;;
EVTDESCA_spleasure2;You've always prized your impeccable poetic skills. Yet, as of late, you've had more and more trouble with inspiration. It's so hard to think of something meaningful any more, it seems like all the greatest, most sublime topics have already been exhausted by Ulthuan's long list of esteemed composers.;;;;;;;;;;;;;;
EVTDESCB_spleasure2;You've always prized your impeccable poetic skills. Yet, as of late, you've had more and more trouble with inspiration. The dreaded fear and cold sophistication of Druchii architecture and the damp forests of Naggaroth can only be applied for so long after all...;;;;;;;;;;;;;;
EVTOPTAspleasure2;Maybe I could try taking... something... to enhance my point of view?;;;;;;;;;;;;;;
EVTOPTBspleasure2;It is said suffering helps the poet...;;;;;;;;;;;;;;
EVTOPTCspleasure2;I'm sure I'll find something, eventually.;;;;;;;;;;;;;;
EVTDESCA_spleasure3;It's not easy to find certain philtres in Ulthuan, but alchemists have to use all sorts of reagents for their experiments. In the end you were able to find and make use of what you needed. The thrill itself was enough to tingle your senses, but the experience right after was something indescribable.;;;;;;;;;;;;;;
EVTDESCB_spleasure3;The New World is filled with strange plants and fungi used for certain rituals, it didn't take long for you to find what you needed. In the end you were able to find and make use of what you needed. The thrill itself was enough to tingle your senses, but the experience right after was something indescribable.;;;;;;;;;;;;;;
EVTOPTAspleasure3;I can touch the Winds of Magic!;;;;;;;;;;;;;;
EVTDESCA_spleasure4;You spend sometime wondering the moral ramifications of your action, but in the end, you agree with yourself it can be an enriching experience. As you observe life slowly dripping away from your wrists, you experience an unfathomable new sensation. When you finally press the wound closed, what you've lost in blood, you've gained tenfold in inspiration.;;;;;;;;;;;;;;
EVTDESCB_spleasure4;It's not something unheard of amongst Khaine followers after all. As you observe life slowly dripping away from your wrists, you experience an unfathomable new sensation. When you finally press the wound closed, what you've lost in blood, you've gained tenfold in inspiration.;;;;;;;;;;;;;;
EVTOPTAspleasure4;What if I used it instead of ink? How deep!;;;;;;;;;;;;;;
EVTDESCA_spleasure5;You can see the hordes of daemonic hordes riding over your fingers. They are so distinct... Yet they're fading away already, you need more of the substance. You can't come unprepared when they come back.;;;;;;;;;;;;;;
EVTOPTAspleasure5;They're still on my hand!;;;;;;;;;;;;;;
EVTDESCA_spleasure6;You could have touched the heavenly figure, it was right in front of you, so alluring... Yet now she has disappeared, you need more of the substance. Reality has become so dull.;;;;;;;;;;;;;;
EVTOPTAspleasure6;Where's my dust?;;;;;;;;;;;;;;
EVTDESCA_spleasure7;You pick a fruit from the heavenly garden, yet, when put it between your lips it turns into your finger. The effects are fading again, you need more of the substance. Reality has become so dull.;;;;;;;;;;;;;;
EVTOPTAspleasure7;Where did I leave it?;;;;;;;;;;;;;;
EVTDESCA_spleasure8;Your multiple experiences really opened your mind, you can see things in such a broad spectrum. As long as you take more of the substance.;;;;;;;;;;;;;;
EVTOPTAspleasure8;Yes, yes, I see all now.;;;;;;;;;;;;;;
EVTDESCA_spleasure9;It took you a while to notice, but as got out of your drug-induced trance, you glanced at the servant peeling from the curtains, spying on you.;;;;;;;;;;;;;;
EVTOPTAspleasure9;He can join me, there's enough of it for two.;;;;;;;;;;;;;;
EVTOPTBspleasure9;Want to see something? *Grab him*;;;;;;;;;;;;;;
EVTOPTCspleasure9;Maybe it's time to stop with this...;;;;;;;;;;;;;;
EVTDESCA_spleasure10;The servant appears scared at first, but once you force him to inhale some of your ailment, he calms himself, happily joining you. The experience is even better with someone else, maybe you should convince more people to join in the future...;;;;;;;;;;;;;;
EVTOPTAspleasure10;Yes, just let your mind roam...;;;;;;;;;;;;;;
EVTTOOLTIPspleasure10;[Root.GetFirstName] unlocked the targeted decision 'Twist'.;;;;;;;;;;;;;;
EVTDESCA_spleasure11;You drag the servant across the floor and press his face into your last bag of dust, leaving him shaking and choking. After some time, he finally stops, dead.;;;;;;;;;;;;;;
EVTOPTAspleasure11;How do you like that? What is your *soul* seeing?;;;;;;;;;;;;;;
EVTDESCA_spleasure12;Each day you give thanks for the inspiration that has led you thus far but although you still feel the thrill when pain dances across your flesh, as time goes on you long to feel something even harsher. As you wonder this things, you find yourself soothed by the chirping of a lovely songbird scampering near your window. For a while you simply delight in its song but eventually your thoughts begin to turn and you start to wonder if perhaps you could inspire it to even greater heights of artistry. How much more beautiful and moving would it be if he went to the same suffering as you subordinate yourself to...;;;;;;;;;;;;;;
EVTOPTAspleasure12;I must know!;;;;;;;;;;;;;;
EVTOPTBspleasure12;That's base, I'll cleanse this thought from my flesh!;;;;;;;;;;;;;;
EVTOPTCspleasure12;That's enough, never again.;;;;;;;;;;;;;;
EVTDESCA_spleasure13;It's growing faint so quickly, but you cannot deny the unique and sublime tone given to birds' notes. It might have been its last song, but you're brought to tears by that very perfection you helped it reach.;;;;;;;;;;;;;;
EVTOPTAspleasure13;It was... enchanting...;;;;;;;;;;;;;;
EVTDESCA_spleasure14;You start punishing your own flesh, but as you go on, you start seeing the art of your work, the passion inside every cut. You quickly grab a mirror and start drawing red lines over your face, ecstatic at the sight of your coming masterpiece.;;;;;;;;;;;;;;
EVTOPTAspleasure14;Sublime!;;;;;;;;;;;;;;
EVTDESCA_spleasure15;Your scholarly studies give you plenty of time for peaceful contemplation and the enjoyment of solitude. All alone in the great library, you cannot fail to think of the books as little universes, hanging to your whims, depending on your care.;;;;;;;;;;;;;;
EVTOPTAspleasure15;A slight change here or there, and history itself is rewritten!;;;;;;;;;;;;;;
EVTOPTBspleasure15;Like the world, they could have little daemons roaming inside...;;;;;;;;;;;;;;
EVTOPTCspleasure15;They should always be preserved at their best.;;;;;;;;;;;;;;
EVTDESCA_spleasure16;You smirk, complimenting yourself on your work and passing to the next volume. So many great deeds were committed by your ancestors you didn't know about...;;;;;;;;;;;;;;
EVTOPTAspleasure16;It's like bending time itself!;;;;;;;;;;;;;;
EVTDESCA_spleasure17;Another little miniature is ready and you move to look for a good spot for the next one. They are so well hidden. The future generations will look at the marvels of these pages and ignore the obscenities laughing at them from the paper.;;;;;;;;;;;;;;
EVTOPTAspleasure17;It's so delightful!;;;;;;;;;;;;;;
EVTDESCA_spleasure18;Your days of quiet enjoyment seems to have come to an end. A young apprentice has come to the library to study. A pompous, nagging little brat, asking you for directions every hour, giving you sleazy looks every time he thinks you're not watching him.;;;;;;;;;;;;;;
EVTDESCB_spleasure18;Your days of quiet enjoyment seems to have come to an end. A young apprentice has come to the library to study. A pretentious, nagging little brat, asking you for directions every hour, outrageously flirting as if her very presence was a gift to you.;;;;;;;;;;;;;;
EVTOPTAspleasure18;It's a vast and ancient library one could easily get lost in...;;;;;;;;;;;;;;
EVTOPTBspleasure18;Let's see if the brat can really handle what it craves for...;;;;;;;;;;;;;;
EVTOPTCspleasure18;Walking close to the staircase, I see? Hmm...;;;;;;;;;;;;;;
EVTOPTDspleasure18;I'll just have to bear with it.;;;;;;;;;;;;;;
EVTDESCA_spleasure19;Who knows when the poor student is getting out of the old storage room. It's so dark and twisted, how could the brat even end there, you wonder? Here's to hoping the poor soul doesn't get eaten by rats. On the other hand, his muffled screams for help are so soothing...;;;;;;;;;;;;;;
EVTOPTAspleasure19;It sounds like a lullaby.;;;;;;;;;;;;;;
EVTDESCA_spleasure20;It wasn't so bad. The boy turned out to be experienced at least in something. And going rough with him assured you some days of quiet in the future. You couldn't deny you enjoyed having the chance to choke the little brat, if only for a while.;;;;;;;;;;;;;;
EVTDESCB_spleasure20;It wasn't so bad. The girl turned out to be experienced at least in something. And going rough with her assured you some days of quiet in the future. You couldn't deny you enjoyed having the chance to choke the little brat, if only for a while.;;;;;;;;;;;;;;
EVTOPTAspleasure20;A teacher *should* spank their students from time to time...;;;;;;;;;;;;;;
EVTDESCA_spleasure21;It takes just one little trip. You have to bear the squealing voice of the annoying twerp only up to when the brat's head squashes on the floor below.;;;;;;;;;;;;;;
EVTOPTAspleasure21;What a beautiful silence. Poetic.;;;;;;;;;;;;;;
EVTDESCA_spleasure22;You were doing some testing for a new concoction in your laboratory, but something has gone wrong. The rat you used for your experiment has started to slowly and painfully choke after tasting the substance.;;;;;;;;;;;;;;
EVTOPTAspleasure22;This needs to be closely observed, yes...;;;;;;;;;;;;;;
EVTOPTBspleasure22;I'll check on it later, let's try something else first.;;;;;;;;;;;;;;
EVTOPTCspleasure22;Better to end the poor creature's suffering.;;;;;;;;;;;;;;
EVTDESCA_spleasure23;Despite your careful examination, you cannot find the source of the problem. You have to admit to yourself though, watching the creature gasping for its last breath from above, like a passive deity, filled you with a smug sense of satisfaction.;;;;;;;;;;;;;;
EVTOPTAspleasure23;It just comes with the job.;;;;;;;;;;;;;;
EVTDESCA_spleasure24;When you return with a new mix, you find out the rat has not yet drawn its last breath. You have it ingest the new substance and while the creature dies, there's a series of fascinating side-effects accompanying its death.;;;;;;;;;;;;;;
